自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スバル,インプレッサスポーツワゴン,GF8,1996/9～2000/8,EJ20T,アプライドD～G,ディスク＋カバー,46418,,292990,660-022-G-qq-e-f1-618k,4996338080332,660 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,インプレッサスポーツワゴン,GF8,1996/9～2000/8,EJ20T,アプライドD～G,ディスク,25567,,292415,00C-022-C201SF-qq-e-f1-619k,4996338083029,00C 022 C201SF,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,インプレッサスポーツワゴン,GGA,2000/8～2005/5,EJ20T,アプライドA～E,ディスク＋カバー,46418,,292739,660-022-G-qq-e-f1-634k,4996338080332,660 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,インプレッサスポーツワゴン,GGA,2000/8～2005/5,EJ20T,アプライドA～E,ディスク,25567,,292416,00C-022-C201SF-qq-e-f1-635k,4996338083029,00C 022 C201SF,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,インプレッサスポーツワゴン,GGA,2005/6～2007/6,EJ20T,アプライドF/G,ディスク＋カバー,46418,,292766,666-022-G-qq-e-f1-641k,4996338080721,666 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10600/1080(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,インプレッサスポーツワゴン,GGA,2005/6～2007/6,EJ20T,アプライドF/G,ディスク,25567,,292497,00C-022-C666F-qq-e-f1-642k,4996338080714,00C 022 C666F,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,インプレッサスポーツワゴン,GGB,2000/10～2002/10,EJ20T,,ディスク＋カバー,44362,,292782,667-022-G-qq-e-f1-625k,4996338080363,667 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),メタルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサスポーツワゴン,GGB,2000/10～2002/10,EJ20T,,ディスク,24824,,292503,00C-022-C667F-qq-e-f1-626k,4996338083258,00C 022 C667F,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,31800,1100
スバル,フォレスター,SF5,1997/2～2002/1,EJ20T,,ディスク＋カバー,46418,,292740,660-022-G-qq-e-f1-646k,4996338080332,660 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,フォレスター,SF5,1997/2～2002/1,EJ20T,,ディスク,25567,,292838,00C-022-C201SF-qq-e-f1-647k,4996338083029,00C 022 C201SF,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,フォレスター,SG5,2002/2～2004/12,EJ20T,アプライドA～C,ディスク＋カバー,46418,,292741,660-022-G-qq-e-f1-653k,4996338080332,660 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,フォレスター,SG5,2002/2～2004/12,EJ20T,アプライドA～C,ディスク,25567,,292417,00C-022-C201SF-qq-e-f1-654k,4996338083029,00C 022 C201SF,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,フォレスター,SG5,2005/1～2007/12,EJ20T,アプライドD～,ディスク＋カバー,46418,,292767,666-022-G-qq-e-f1-660k,4996338080721,666 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10600/1080(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,フォレスター,SG5,2005/1～2007/12,EJ20T,アプライドD～,ディスク,25567,,292870,00C-022-C666F-qq-e-f1-661k,4996338080714,00C 022 C666F,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,フォレスター,SG9,2004/2～2007/12,EJ20T,2.5L STIバージョン,ディスク＋カバー,44362,,292783,667-022-G-qq-e-f1-665k,4996338080363,667 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),メタルディスク&クスコクラッチカバー,,61000,0
