自動車メーカー,車種,型式,駆動方式,排気量,年式,備考,セット内容,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,ダウン量,バネレート,マッチンググレード,定価,入り送料,SET価格,,取付特記事項
AUDI,A4,8KCDN,FF,2000 TB,23/4～,,フロント,17794,,160887,AU420TDF-qq-e-16268,出さない,4511969288683,AU420TDF,RS-R,Ti2000 DOWN,20～15,4.85,2.0TFSI Sライン パッケージ,28700,1250,出さない
AUDI,A4,8KCDN,FF,2000 TB,23/4～,,リア,15066,,150003,AU420TDR-qq-e-16269,出さない,4511969288690,AU420TDR,RS-R,Ti2000 DOWN,15～10,3.60,2.0TFSI Sライン パッケージ,24300,1250,出さない
AUDI,A4,8KCDNF,4WD,2000 TB,21/3～,B8モデル,1台分,29016,,162015,AU410TD-qq-e-16270,AU410TD-qq-e-d-16270,4511969288225,AU410TD,RS-R,Ti2000 DOWN,35～30/20～15,5.54/3.67,2.0TFSIクワトロ,46800,0,68100
AUDI,A4,8KCDNF,4WD,2000 TB,21/3～,B8モデル,フロント,17856,,155647,AU410TDF-qq-e-16271,出さない,4511969288232,AU410TDF,RS-R,Ti2000 DOWN,35～30,5.54,2.0TFSIクワトロ,28800,1250,出さない
AUDI,A4,8KCDNF,4WD,2000 TB,21/3～,B8モデル,リア,14322,,160885,AU410TDR-qq-e-16272,出さない,4511969288249,AU410TDR,RS-R,Ti2000 DOWN,20～15,3.67,2.0TFSIクワトロ,23100,1250,出さない
AUDI,A4アバント,8KCDN,FF,2000 TB,23/4～,,1台分,28830,,156377,AU430TD-qq-e-423,AU430TD-qq-e-d-423,4511969288737,AU430TD,RS-R,Ti2000 DOWN,25～20/20～15,5.54/3.22,2.0TFSI,46500,0,67900
AUDI,A4アバント,8KCDN,FF,2000 TB,23/4～,,フロント,17422,,158666,AU430TDF-qq-e-16274,出さない,4511969288744,AU430TDF,RS-R,Ti2000 DOWN,25～20,5.54,2.0TFSI,28100,1250,出さない
AUDI,A4アバント,8KCDN,FF,2000 TB,23/4～,,リア,14694,,158667,AU430TDR-qq-e-16275,出さない,4511969288751,AU430TDR,RS-R,Ti2000 DOWN,20～15,3.22,2.0TFSI,23700,1250,出さない
AUDI,A5,8TCDNF,4WD,2000 TB,25/7～,,1台分,34720,,160888,AU500TD-qq-e-16276,AU500TD-qq-e-d-16276,4511969400474,AU500TD,RS-R,Ti2000 DOWN,20～15/20～15,7.14/3.60,2.0TFSIクワトロ,56000,0,73600
AUDI,A5,8TCDNF,4WD,2000 TB,25/7～,,フロント,27838,,156378,AU500TDF-qq-e-16277,出さない,4511969400481,AU500TDF,RS-R,Ti2000 DOWN,20～15,7.14,2.0TFSIクワトロ,44900,1250,出さない
AUDI,A5,8TCDNF,4WD,2000 TB,25/7～,,リア,10974,,150004,AU500TDR-qq-e-16278,出さない,4511969400498,AU500TDR,RS-R,Ti2000 DOWN,20～15,3.60,2.0TFSIクワトロ,17700,1250,出さない
AUDI,Q2,GACHZ,FF,1000 TB,29/5～,,1台分,31620,,164291,AU200TD-qq-e-424,出さない,4511969407213,AU200TD,RS-R,Ti2000 DOWN,30～25/35～30,2.82/2.65,1.0TFSIスポーツ,51000,0,出さない
AUDI,Q2,GACHZ,FF,1000 TB,29/5～,,フロント,16058,,157895,AU200TDF-qq-e-4,出さない,4511969407220,AU200TDF,RS-R,Ti2000 DOWN,30～25,2.82,1.0TFSIスポーツ,25900,1250,出さない
AUDI,Q2,GACHZ,FF,1000 TB,29/5～,,リア,18786,,160137,AU200TDR-qq-e-4,出さない,4511969407237,AU200TDR,RS-R,Ti2000 DOWN,35～30,2.65,1.0TFSIスポーツ,30300,1250,出さない
AUDI,Q3,8UCULB,4WD,2000 TB,27/5～,,1台分,32860,,153363,AU320TD-qq-e-425,出さない,4511969403178,AU320TD,RS-R,Ti2000 DOWN,20～15/30～25,3.27/3.88,2.0TFSI クワトロ 180PS,53000,0,出さない
AUDI,Q3,8UCULB,4WD,2000 TB,27/5～,,フロント,16740,,153364,AU320TDF-qq-e-6,出さない,4511969403185,AU320TDF,RS-R,Ti2000 DOWN,20～15,3.27,2.0TFSI クワトロ 180PS,27000,1250,出さない
AUDI,Q3,8UCULB,4WD,2000 TB,27/5～,,リア,19530,,162014,AU320TDR-qq-e-6,出さない,4511969403192,AU320TDR,RS-R,Ti2000 DOWN,30～25,3.88,2.0TFSI クワトロ 180PS,31500,1250,出さない
AUDI,S1,8XCWZF,4WD,2000 TB,26/11～,,1台分,36580,,164289,AU103TD-qq-e-426,出さない,4511969405219,AU103TD,RS-R,Ti2000 DOWN,15～10/15～10,4.29/3.88,ベースグレード,59000,0,出さない
AUDI,S1,8XCWZF,4WD,2000 TB,26/11～,,フロント,20088,,151122,AU103TDF-qq-e-3,出さない,4511969405226,AU103TDF,RS-R,Ti2000 DOWN,15～10,4.29,ベースグレード,32400,1250,出さない
AUDI,S1,8XCWZF,4WD,2000 TB,26/11～,,リア,20832,,164290,AU103TDR-qq-e-3,出さない,4511969405233,AU103TDR,RS-R,Ti2000 DOWN,15～10,3.88,ベースグレード,33600,1250,出さない
AUDI,S3,8VCJXF,4WD,2000 TB,25/11～,,1台分,32860,,157897,AU310TD-qq-e-427,出さない,4511969401457,AU310TD,RS-R,Ti2000 DOWN,25～20/20～15,5.15/7.35,スポーツバック,53000,0,出さない
AUDI,S3,8VCJXF,4WD,2000 TB,25/11～,,フロント,17546,,157898,AU310TDF-qq-e-16280,出さない,4511969401464,AU310TDF,RS-R,Ti2000 DOWN,25～20,5.15,スポーツバック,28300,1250,出さない
AUDI,S3,8VCJXF,4WD,2000 TB,25/11～,,リア,18724,,159762,AU310TDR-qq-e-16281,出さない,4511969401471,AU310TDR,RS-R,Ti2000 DOWN,20～15,7.35,スポーツバック,30200,1250,出さない
AUDI,TTクーペ,8JBWA,FF,2000 TB,18/7～,,1台分,30194,,162013,AU010TD-qq-e-16282,AU010TD-qq-e-d-16282,4511969281158,AU010TD,RS-R,Ti2000 DOWN,20～15/10～5,3.46/3.84,2.0TFSI,48700,0,64300
AUDI,TTクーペ,8JBWA,FF,2000 TB,18/7～,,フロント,16306,,151117,AU010TDF-qq-e-16283,出さない,4511969281165,AU010TDF,RS-R,Ti2000 DOWN,20～15,3.46,2.0TFSI,26300,1250,出さない
AUDI,TTクーペ,8JBWA,FF,2000 TB,18/7～,,リア,16306,,155645,AU010TDR-qq-e-16284,出さない,4511969281172,AU010TDR,RS-R,Ti2000 DOWN,10～5,3.84,2.0TFSI,26300,1250,出さない
AUDI,TTクーペ,FVCHHF,4WD,2000 TB,27/8～,,1台分,32240,,155646,AU013TD-qq-e-428,出さない,4511969401754,AU013TD,RS-R,Ti2000 DOWN,10～5/10～5,5.15/4.49,2.0TFSIクワトロ Sラインパッケージ,52000,0,出さない
AUDI,TTクーペ,FVCHHF,4WD,2000 TB,27/8～,,フロント,17422,,160135,AU013TDF-qq-e-1,出さない,4511969401761,AU013TDF,RS-R,Ti2000 DOWN,10～5,5.15,2.0TFSIクワトロ Sラインパッケージ,28100,1250,出さない
AUDI,TTクーペ,FVCHHF,4WD,2000 TB,27/8～,,リア,18228,,151119,AU013TDR-qq-e-1,出さない,4511969401778,AU013TDR,RS-R,Ti2000 DOWN,10～5,4.49,2.0TFSIクワトロ Sラインパッケージ,29400,1250,出さない
AUDI,TTロードスター,FVCHHF,4WD,2000 TB,27/8～,,1台分,30256,,157892,AU012TD-qq-e-429,出さない,4511969299993,AU012TD,RS-R,Ti2000 DOWN,20～15/20～15,3.32/4.49,2.0TFSIクワトロ,48800,0,出さない
AUDI,TTロードスター,FVCHHF,4WD,2000 TB,27/8～,,フロント,14756,,151118,AU012TDF-qq-e-16286,出さない,4511969200005,AU012TDF,RS-R,Ti2000 DOWN,20～15,3.32,2.0TFSIクワトロ,23800,1250,出さない
AUDI,TTロードスター,FVCHHF,4WD,2000 TB,27/8～,,リア,18662,,166598,AU012TDR-qq-e-16287,出さない,4511969200012,AU012TDR,RS-R,Ti2000 DOWN,20～15,4.49,2.0TFSIクワトロ,30100,1250,出さない
BMW,1シリーズ,E82 UC30,FR,3000 TB,22/5～,7AT車,1台分,24242,,150786,BM003TD-qq-e-391,出さない,4511969260108,BM003TD,RS-R,Ti2000 DOWN,20～15/10～5,2.35/7.39,135iクーペ,39100,0,出さない
BMW,1シリーズ,E82 UC30,FR,3000 TB,22/5～,7AT車,フロント,11780,,157534,BM003TDF-qq-e-12,出さない,4511969260115,BM003TDF,RS-R,Ti2000 DOWN,20～15,2.35,135iクーペ,19000,1250,出さない
