自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,掛け,販売価格
日産,バサラ,JU30/JHU30/JVU30/JNU30/JVNU30,H11/11～H15/6,2400～3000,リアドラム,フロント,11100,,279548,SSY-EP346-qq-e-497k,SSY-EP346-qq-e-d-497k,4515693313468,EP346,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,パルサー/パルサーエクサ/リベルタビラ,N14系,H2/8～H7/1,1300～1700,4輪ディスク,フロント,11100,,278894,SSY-EP254-qq-e-9683k,SSY-EP254-qq-e-d-9683k,4515693312546,EP254,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,パルサー/パルサーエクサ/リベルタビラ,N14系,H2/8～H7/1,1800,,フロント,11100,,278881,SSY-EP251-qq-e-9684k,SSY-EP251-qq-e-d-9684k,4515693312515,EP251,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,パルサーGTI-R,RNN14,H2/8～H7/1,2000,,フロント,11100,,278942,SSY-EP262-qq-e-9685k,SSY-EP262-qq-e-d-9685k,4515693312621,EP262,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,パルサーGTI-R,RNN14,H2/8～H7/1,2000,,リア,11100,,278961,SSY-EP263-qq-e-293k,SSY-EP263-qq-e-d-293k,4515693312638,EP263,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ピノ,HC24S,H19/1～H22/2,660,,フロント,11100,,280398,SSY-EP441-qq-e-498k,SSY-EP441-qq-e-d-498k,4515693314410,EP441,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フーガ,GY50,H17/8～H21/10,4500,,フロント,11100,,279821,SSY-EP373-qq-e-508k,SSY-EP373-qq-e-d-508k,4515693313734,EP373,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フーガ,GY50,H17/8～H21/10,4500,,リア,11100,,279995,SSY-EP389-qq-e-6249k,SSY-EP389-qq-e-d-6249k,4515693313895,EP389,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フーガ,KY51,H21/11～,3700,370GT タイプS,フロント,11100,,280524,SSY-EP461-qq-e-509k,SSY-EP461-qq-e-d-509k,4515693314618,EP461,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フーガ,KY51,H21/11～,3700,370GT タイプS,リア,11100,,280528,SSY-EP462-qq-e-6250k,SSY-EP462-qq-e-d-6250k,4515693314625,EP462,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フーガ,Y50/PY50/PNY50,H16/10～H21/10,2500～3500,,フロント,11100,,279820,SSY-EP373-qq-e-507k,SSY-EP373-qq-e-d-507k,4515693313734,EP373,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フーガ,Y50/PY50/PNY50,H16/10～H21/10,2500～3500,,リア,11100,,279994,SSY-EP389-qq-e-6248k,SSY-EP389-qq-e-d-6248k,4515693313895,EP389,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フーガ,Y51/KY51/KNY51,H21/11～,2500～3700,370GT タイプS除く,フロント,11100,,279822,SSY-EP373-qq-e-510k,SSY-EP373-qq-e-d-510k,4515693313734,EP373,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フーガ,Y51/KY51/KNY51,H21/11～,2500～3700,370GT タイプS除く,リア,11100,,280665,SSY-EP482-qq-e-6251k,SSY-EP482-qq-e-d-6251k,4515693314823,EP482,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フェアレディZ,Z32,H1/7～H14/8,3000,,フロント,11100,,278632,SSY-EP230-qq-e-499k,SSY-EP230-qq-e-d-499k,4515693312300,EP230,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フェアレディZ,Z32,H1/7～H14/8,3000,,リア,11100,,278641,SSY-EP231-qq-e-6240k,SSY-EP231-qq-e-d-6240k,4515693830705,EP231,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フェアレディZ,Z33,H14/8～H17/9,3500,純正ブレンボキャリパー非装着車,フロント,11100,,278714,SSY-EP236-qq-e-501k,SSY-EP236-qq-e-d-501k,4515693312362,EP236,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フェアレディZ,Z33,H14/8～H17/9,3500,純正ブレンボキャリパー非装着車,リア,11100,,279991,SSY-EP389-qq-e-6242k,SSY-EP389-qq-e-d-6242k,4515693313895,EP389,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フェアレディZ,Z33,H14/8～H19/1,3500,純正ブレンボキャリパー装着車,フロント,11100,,280052,SSY-EP400-qq-e-500k,SSY-EP400-qq-e-d-500k,4515693314007,EP400,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,フェアレディZ,Z33,H14/8～H19/1,3500,純正ブレンボキャリパー装着車,リア,11100,,280140,SSY-EP408-qq-e-6241k,SSY-EP408-qq-e-d-6241k,4515693314083,EP408,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
