自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
AUDI,A4 アバント,B6/B7/8E,2001/10～2007,スポーツサスペンション車含む<br>クワトロ/Sライン除く,80800,,291252,KONI-SP-qq-e-i-907k,出さない,フロント:8240-1185×2<br>リア:8040-1283×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,101000,出さない,出さない,,
AUDI,A4 アバント,B8/8K,2008/03～,1.8/2.0/3.2/2.0/2.7/3.0TDi(クアトロ含む)<br>Sラインサスペンション車除く<br>オールロード除く,78400,,291018,KONI-SP-qq-e-i-924k,出さない,フロント:8240-1261×2<br>リア:8040-1390×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
AUDI,A4 セダン,B6/B7/8E,2000/11～2007,スポーツサスペンション車含む<br>クワトロ/Sライン除く,80800,,291017,KONI-SP-qq-e-i-903k,出さない,フロント:8240-1185×2<br>リア:8040-1283×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,101000,出さない,出さない,,
AUDI,A4 セダン,B8/8K,2008/03～,1.8/2.0/3.2 2.0/2.7/3.0TDi(クアトロ含む)<br>Sラインサスペンション車除く<br>オールロード除く,78400,,291475,KONI-SP-qq-e-i-916k,出さない,フロント:8240-1261×2<br>リア:8040-1390×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
AUDI,A4 セダン/アバント クアトロ,B6/B7/8E,2000/11～2007,スポーツサスペンション車含む<br>Sライン除く,80800,,291253,KONI-SP-qq-e-i-911k,出さない,フロント:8240-1185×2<br>リア:8040-1283×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,101000,出さない,出さない,,
AUDI,A5,8F,2009/03～,Sラインサスペンション車専用,78400,,291254,KONI-SP-qq-e-i-944k,出さない,フロント:8240-1279×2<br>リア:8040-1402×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
AUDI,A5,8T,2007～,Sラインサスペンション車専用,78400,,290781,KONI-SP-qq-e-i-932k,KONI-SP-qq-e-d-i-932k,フロント:8240-1279×2<br>リア:8040-1402×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,108600,118400,,
AUDI,A5,8T,2009～,ラインサスペンション車専用,78400,,290783,KONI-SP-qq-e-i-938k,KONI-SP-qq-e-d-i-938k,フロント:8240-1279×2<br>リア:8040-1402×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,108600,118400,,
AUDI,A5 カブリオレ,8F,2009/03～,1.8T/2.0T/3.2/Tdi全モデル,78400,,291477,KONI-SP-qq-e-i-940k,出さない,フロント:8240-1261×2<br>リア:8040-1402×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
AUDI,A5 クーペ,8T,2007～,1.8T/2.0T/3.2/Tdi全モデル<br>Sラインサスペンション車除く,78400,,290780,KONI-SP-qq-e-i-928k,KONI-SP-qq-e-d-i-928k,フロント:8240-1261×2<br>リア:8040-1390×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,108600,118400,,
AUDI,A5 スポーツバック,8T,2009～,1.8T/2.0T/3.2/Tdi全モデル<br>Sラインサスペンション車除く,78400,,290782,KONI-SP-qq-e-i-934k,KONI-SP-qq-e-d-i-934k,フロント:8240-1261×2<br>リア:8040-1390×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,108600,118400,,
AUDI,A6 アバント,4B/C5,1998/03～2004,クワトロ&セルフレベリング車除く<br>スポーツサスペンション含む<br>フロント軸重が1115kgまでの車両,76800,,291479,KONI-SP-qq-e-i-951k,出さない,フロント:82-2488×2<br>リア:8040-1227×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUDI,A6 アバント,C6/4F,2005/01～2011,クワトロを含む<br>エアーサスペンション車を除く<br>フロント軸重が1215kgまでの車両,84800,,291020,KONI-SP-qq-e-i-969k,出さない,フロント:8240-1229×2<br>リア:8240-1230×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,106000,出さない,出さない,,
AUDI,A6 アバント,C6/4F,2005/01～2011,クワトロを含む<br>エアーサスペンション車を除く<br>フロント軸重が1216kg以上の車両,84800,,291262,KONI-SP-qq-e-i-971k,出さない,フロント:8240-1229×2<br>リア:8240-1230×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,106000,出さない,出さない,,
AUDI,A6 アバント,C7/4G,2011～,Sラインサス/エアーサス及びオールロード車を除く,78400,,291263,KONI-SP-qq-e-i-981k,出さない,フロント:8240-1261×2<br>リア:8040-1390×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
AUDI,A6 アバント,C7/4G,2011～,Sラインサス含む<br>エアーサス&オールロード車除く,78400,,291022,KONI-SP-qq-e-i-985k,出さない,フロント:8240-1279×2<br>リア:8040-1402×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
AUDI,A6 セダン,4B/C5,1997～2004,クワトロ&セルフレベリング車除く<br>スポーツサスペンション含む<br>フロント軸重が1115kgまでの車両,76800,,291256,KONI-SP-qq-e-i-947k,出さない,フロント:82-2488×2<br>リア:8040-1227×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUDI,A6 セダン,4B/C5,1997～2004,クワトロ&セルフレベリング車除く<br>スポーツサスペンション含む<br>フロント軸重が1116kg以上の車両,76800,,291257,KONI-SP-qq-e-i-949k,出さない,フロント:82-2488×2<br>リア:8040-1227×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUDI,A6 セダン,4B/C5,1998/03～2004,クワトロ&セルフレベリング車除く<br>スポーツサスペンション含む<br>フロント軸重が1116kg以上の車両,76800,,291258,KONI-SP-qq-e-i-953k,出さない,フロント:82-2488×2<br>リア:8040-1227×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUDI,A6 セダン,C6/4F,2004/06～2011,クワトロを含む<br>エアーサスペンション車を除く<br>フロント軸重が1215kgまでの車両,84800,,291260,KONI-SP-qq-e-i-965k,出さない,フロント:8240-1229×2<br>リア:8240-1230×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,106000,出さない,出さない,,
