自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,ソリオ,MA15S,11/01～15/08,,フロント,22400,,175187,HD3714071-qq-e-768k,4547726535592,3714071,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,ツイン,EC22S,03/01～,,フロント,18400,,175062,HD3714013-qq-e-609k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,ハスラー,MR31S/MR41S,14/01～,NA,フロント,22400,,175106,HD3714027-qq-e-671k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,ハスラー,MR31S/MR41S,14/01～,ターボ,フロント,20800,,175158,HD3714033-qq-e-725k,4547726536803,3714033,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,パレット,MK21S,08/01～,NA<br>4WD,フロント,20800,,175161,HD3714033-qq-e-728k,4547726536803,3714033,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,パレット,MK21S,08/01～,NA<br>FF,フロント,21600,,175134,HD3714029-qq-e-699k,4547726536797,3714029,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,22000,600,17600,4000
スズキ,パレット,MK21S,08/01～,ターボ,フロント,20800,,175162,HD3714033-qq-e-729k,4547726536803,3714033,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,フロンテ,CN11S/CP11S,88/9～89/4,,フロント,21600,,175013,HD3712400-qq-e-523k,4547726537015,3712400,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,22000,600,17600,4000
スズキ,ラパン,HE21S,02/01～05/01,NA・4WD車 車台No.→161593,フロント,18400,,175060,HD3714013-qq-e-607k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,ラパン,HE21S,02/01～05/01,NA・FF車<br>車台No.→519297,フロント,18400,,175059,HD3714013-qq-e-606k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,ラパン,HE21S,02/9～08/11,ターボ<br>車台No.973852→,フロント,20800,,175159,HD3714033-qq-e-726k,4547726536803,3714033,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
