自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
LOTUS,エリーゼ,,2003/02～,2WD,,,92800,,248737,01011232001-qq-257,01011232001-qq-d-50,Largus,Spec S I,マウントレス|マウントレス,7k|8k,,,32段階調整,ネジ式車高調,,92800,117800,,,20191023初期
MERCEDESBENZ,Aクラス,W169,2005/02～2010/08,2WD,,Fr：576mm～654mm<br>Rr：616mm～657mm,89800,,248745,01011233008-qq-967,01011233008-qq-d-51,Largus,Spec S I,マウントレス|マウントレス,6k|4k,576mm～654mm|616mm～657mm,-77mm～+1mm|-47mm～-6mm,32段階調整,,,89800,124800,,,20191023初期
MERCEDESBENZ,Aクラス,W176 A180/A250,2012/11～,2WD,,Fr：610mm～688mm<br>Rr：648mm～683mm,87800,,248297,01011233001-qq-969,01011233001-qq-d-53,Largus,Spec S I,マウントレス|マウントレス,6k|6k,610mm～688mm|648mm～683mm,-60mm～+18mm|-43mm～-8mm,32段階調整,,,87800,122800,,,20191023初期
MERCEDESBENZ,Aクラス,W176 A250,2012/11～,4WD,,Fr：610mm～670mm<br>Rr：630mm～675mm,87800,,248298,01011233001-qq-968,01011233001-qq-d-52,Largus,Spec S I,マウントレス|マウントレス,6k|6k,610mm～670mm|630mm～675mm,-60mm～0mm|-45mm～-10mm,32段階調整,マッチンググレード:A250/シュポルト/4マチック,,87800,122800,,,20191023初期
MERCEDESBENZ,Bクラス,W245,2006/01～2012/03,2WD,,Fr：596mm～676mm<br>Rr：630mm～669mm,89800,,248537,01011233008-qq-975,01011233008-qq-d-54,Largus,Spec S I,マウントレス|マウントレス,6k|4k,596mm～676mm|630mm～669mm,-74mm～+6mm|-50mm～-11mm,32段階調整,,,89800,124800,,,20191023初期
MERCEDESBENZ,Bクラス,W246,2012/04～,2WD,,Fr：598mm～660mm<br>Rr：640mm～675mm,87800,,248739,01011233001-qq-976,01011233001-qq-d-55,Largus,Spec S I,マウントレス|マウントレス,6k|6k,598mm～660mm|640mm～675mm,-52mm～+10mm|-37mm～-2mm,32段階調整,,,87800,122800,,,20191023初期
MERCEDESBENZ,CLAクラス,C117,2013/07～,2WD,FF車専用,Fr：592mm～660mm<br>Rr：640mm～676mm,87800,,248740,01011233001-qq-979,01011233001-qq-d-56,Largus,Spec S I,マウントレス|マウントレス,6k|6k,592mm～660mm|640mm～676mm,-57mm～+11mm|-32mm～+4mm,32段階調整,,,87800,122800,,,20191023初期
MERCEDESBENZ,Cクラス,W203,2000/09～2007/05,2WD,,Fr：598mm～652mm<br>Rr：613mm～683mm,90800,,248742,01011233004-qq-992,01011233004-qq-d-57,Largus,Spec S I,マウントレス|マウントレス,6.8k|11k,598mm～652mm|613mm～683mm,-55mm～-1mm|-41mm～+29mm,32段階調整,,,90800,125800,,,20191023初期
MERCEDESBENZ,Cクラス,W204,2007/06～,2WD,,Fr：603mm～678mm<br>Rr：611mm～675mm,92800,,248741,01011233002-qq-993,01011233002-qq-d-58,Largus,Spec S I,マウントレス|固定式強化ゴム,7k|11k,603mm～678mm|611mm～675mm,-52mm～+23mm|-61mm～+3mm,32段階調整,,,92800,117800,,,20191023初期
MERCEDESBENZ,Cクラス,W205,2014/04～,2WD,,Fr：609mm～686mm<br>Rr：619mm～679mm,92800,,248746,01011233009-qq-994,01011233009-qq-d-59,Largus,Spec S I,固定式強化ゴム|マウントレス,12k|15k,609mm～686mm|619mm～679mm,-74mm～+3mm|-73mm～-13mm,32段階調整,,,92800,127800,,,20191023初期
MERCEDESBENZ,Eクラス,W211,2002/06～,2WD,適合グレード:E240/E320,Fr：629mm～717mm<br>Rr：610mm～679mm,87800,,248744,01011233006-qq-999,01011233006-qq-d-60,Largus,Spec S I,固定式強化ゴム|マウントレス,14k|15k,629mm～717mm|610mm～679mm,-54mm～+34mm|-62mm～+7mm,32段階調整,,,87800,122800,,,20191023初期
MERCEDESBENZ,Eクラス,W212,2009/05～,2WD,,Fr：622mm～682mm<br>Rr：615mm～680mm,92800,,248535,01011233003-qq-1,01011233003-qq-d-61,Largus,Spec S I,マウントレス|固定式強化ゴム,6k|15k,622mm～682mm|615mm～680mm,-50mm～+10mm|-65mm～0mm,32段階調整,,,92800,127800,,,20191023初期
MERCEDESBENZ,GLAクラス,X156,2014/05～,4WD,,Fr：657mm～736mm<br>Rr：680mm～720mm,87800,,248299,01011233001-qq-3,01011233001-qq-d-62,Largus,Spec S I,マウントレス|マウントレス,6k|6k,657mm～736mm|680mm～720mm,-71mm～+8mm|-66mm～-26mm,32段階調整,,,87800,122800,,,20191023初期
MERCEDESBENZ,SLKクラス,R171,2004/09～2011/06,2WD,AMG不可,Fr：606mm～682mm<br>Rr：613mm～685mm,99800,,248743,01011233005-qq-71,01011233005-qq-d-63,Largus,Spec S I,調整式ピロ|マウントレス,6k|11k,606mm～682mm|613mm～685mm,-46mm～+30mm|-53mm～+19mm,32段階調整,,,99800,134800,,,20191023初期
MERCEDESBENZ,SLKクラス,R172,2011/07～,2WD,AMG不可,Fr：596mm～670mm<br>Rr：615mm～686mm,95800,,248536,01011233007-qq-72,01011233007-qq-d-64,Largus,Spec S I,マウントレス|マウントレス,7k|11k,596mm～670mm|615mm～686mm,-57mm～+17mm|-63mm～+8mm,32段階調整,,,95800,120800,,,20191023初期
