自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,ダウン量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,バネレート kg/mm(F/R),バンプカット量 (F/R),マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
マツダ,CX-5,KE2FW,2012/02～2017/02,FF,2200,ディーゼルターボ,,Fr：+10～+20mm<br>Rr：+15～+25mm,25970,,265890,KE2AWUK-qq-e-f1-1086,KE2AWUK-qq-e-d-1086,4511478255893,KE2AWUK,TANABE,DEVIDE UP210,1台分,3.2/4.5,純正バンプカット不要,XDLパッケージ(MC後),,,44000,41900
マツダ,CX-5,KE5AW,2013/10～2017/02,4WD,2500,NA,,Fr：+25～+35mm<br>Rr：+15～+25mm,25970,,265888,KE2AWUK-qq-e-f1-13,KE2AWUK-qq-e-d-13,4511478255893,KE2AWUK,TANABE,DEVIDE UP210,1台分,3.2/4.5,純正バンプカット不要,25SLパッケージ(MC後),,,44000,41900
マツダ,CX-5,LDA-KF2P,2017/02～,4WD,2200,ディーゼルターボ,,Fr：+25～+35mm<br>Rr：+10～+20mm,25970,,265898,KF2PUK-qq-e-f1-15,KF2PUK-qq-e-d-15,4511478256449,KF2PUK,TANABE,DEVIDE UP210,1台分,3.2/4.5,純正バンプカット不要,XDLパッケージ,,,44000,41900
マツダ,CX-5,LDA-KF2P,2017/02～,FF,2200,ディーゼルターボ,,Fr：+30～+40mm<br>Rr：+15～+25mm,25970,,265896,KF2PUK-qq-e-f1-14,KF2PUK-qq-e-d-14,4511478256449,KF2PUK,TANABE,DEVIDE UP210,1台分,3.2/4.5,純正バンプカット不要,XDLパッケージ,,,44000,41900
マツダ,CX-8,KG2P,2017/12～,4WD,2200,ディーゼルターボ,,Fr：+25～+35mm<br>Rr：+20～+30mm,27100,,265910,KG2PUK-qq-e-f1-196k,KG2PUK-qq-e-d-196k,4511478256777,KG2PUK,TANABE,DEVIDE UP210,1台分,3.2/6.2,,XD/Lパッケージ,,,46000,43100
マツダ,スクラムワゴン,DG17W,2015/03～,4WD(FR装着可),660,ターボ,,データなし,17349,,265813,DA17WUK-qq-e-f1-9,DA17WUK-qq-e-d-9,4511478256081,DA17WUK,TANABE,DEVIDE UP210,1台分,3.5/3.6,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,29000,32700
マツダ,フレアクロスオーバー,MS31S,2014/01～,4WD専用,660,NA(ターボ装着可),,データなし,17349,,265845,MR31S4WDUK-qq-e-f1-10,MR31S4WDUK-qq-e-d-10,4511478256173,MR31S4WDUK,TANABE,DEVIDE UP210,1台分,2.7/2.1,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,29000,32700
マツダ,フレアクロスオーバー,MS31S,2014/01～,FF専用,660,NA(ターボ装着可),,データなし,17349,,265841,MR31SUK-qq-e-f1-1088,MR31SUK-qq-e-d-1088,4511478255909,MR31SUK,TANABE,DEVIDE UP210,1台分,2.7/2.3,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,29000,32700
マツダ,フレアクロスオーバー,MS41S,2015/05～,4WD専用,660,NA(ターボ装着可),,データなし,17349,,265846,MR31S4WDUK-qq-e-f1-11,MR31S4WDUK-qq-e-d-11,4511478256173,MR31S4WDUK,TANABE,DEVIDE UP210,1台分,2.7/2.1,,現車未確認,未計測の為、車高データなし,,29000,32700
マツダ,フレアクロスオーバー,MS41S,2015/05～,FF専用,660,NA(ターボ装着可),,データなし,17349,,265843,MR31SUK-qq-e-f1-1087,MR31SUK-qq-e-d-1087,4511478255909,MR31SUK,TANABE,DEVIDE UP210,1台分,2.7/2.3,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,29000,32700
三菱,エクリプスクロス,GK1W,2018/03～,4WD,1500,ターボ,,Fr：+25～+35mm<br>Rr：+25～+35mm,25970,,265917,GK1WUK-qq-e-f1-16,GK1WUK-qq-e-d-16,4511478256661,GK1WUK,TANABE,DEVIDE UP210,1台分,3.7/3.8,,Gプラスパッケージ,,,44000,46900
三菱,エクリプスクロス,GK1W,2018/03～,FF,1500,ターボ,,Fr：+30～+40mm<br>Rr：+30～+40mm,25970,,265919,GK1WUK-qq-e-f1-17,GK1WUK-qq-e-d-17,4511478256661,GK1WUK,TANABE,DEVIDE UP210,1台分,3.7/3.8,純正バンプカット不要,M,,,44000,46900
三菱,タウンボックス,DS17W,2015/03～,FR,660,NA,,データなし,17349,,265927,DA17WUK-qq-e-f1-19,DA17WUK-qq-e-d-19,4511478256081,DA17WUK,TANABE,DEVIDE UP210,1台分,3.5/3.6,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,29000,32700
三菱,タウンボックス,DS64W,2014/02～2015/03,FR(4WD装着可),660,NA,,データなし,17349,,265924,DA64WUK-qq-e-f1-18,DA64WUK-qq-e-d-18,4511478256142,DA64WUK,TANABE,DEVIDE UP210,1台分,3.0/3.5,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,29000,32700
三菱,デリカD：5,CV1W,2013/01～2019/02,4WD,2200,ディーゼルターボ,MC後装着不可,Fr：+25～+35mm<br>Rr：+25～+35mm,25970,,265930,CV1WUK-qq-e-f1-20,CV1WUK-qq-e-d-20,4511478256456,CV1WUK,TANABE,DEVIDE UP210,1台分,4.3/7.3,純正バンプカット不要,Dパワーパッケージ(MC前),,,44000,41900
三菱,デリカD：5,CV1W,2019/02～,4WD,2200,ディーゼルターボ,MC前装着不可,Fr：+20～+30mm<br>Rr：+10～+20mm,27100,,265932,CV1WMCUK-qq-e-f1-206k,CV1WMCUK-qq-e-d-206k,4511478256968,CV1WMCUK,TANABE,DEVIDE UP210,1台分,4.9/7.9,純正バンプカット不要,G(MC後),,,46000,43100
三菱,デリカD：5,CV5W,2007/01～,4WD,2400,NA,,Fr：+25～+35mm<br>Rr：+25～+35mm,25970,,265931,CV5WUK-qq-e-f1-21,CV5WUK-qq-e-d-21,4511478256722,CV5WUK,TANABE,DEVIDE UP210,1台分,4.1/7.0,純正バンプカット不要,M,,,44000,41900
三菱,ミニキャブバン,DS64V,2014/02～2015/03,FR,660,NA,,データなし,17349,,265939,DA64WUK-qq-e-f1-22,DA64WUK-qq-e-d-22,4511478256142,DA64WUK,TANABE,DEVIDE UP210,1台分,3.0/3.5,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,29000,32700
