"自動車メーカー,車種,型式,エンジン,年式,適合詳細,ダウン量,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,バネレート【F/R】(kg/mm)	,定価,送料,SET価格"
ホンダ,N-ONE,JG1,S07A,11/11～,2WD用,Fr：25～35mm<br>Rr：25～35mm,プレミアムツアラーLで装着,13960,,260303,H100HA1-qq-e-f1-42k,H100HA1-qq-e-d-42k,H100HA1,JIC,X-MAGIC,1台分,1.97/1.84,25000,1100,29800
ホンダ,S660,JW5,S07A,15/4～,,Fr：20～30mm<br>Rr：30～40mm,ヘッドライト・ウインカーの高さが車検の規定範囲外のため車検非対応,15998,,260321,H100JW5-qq-e-f1-60k,H100JW5-qq-e-d-60k,H100JW5,JIC,X-MAGIC,1台分,1.43/1.91,29000,1100,32000
ホンダ,エリシオン,RR1,K24A,04/5～,,Fr：35～45mm<br>Rr：30～40mm,,18524,,260304,H100RR1-qq-e-f1-43k,H100RR1-qq-e-d-43k,H100RR1,JIC,X-MAGIC,1台分,5.2/7.2,34000,1100,34700
ホンダ,オデッセイ,RB1,K24A,03/10～,,Fr：40～50mm<br>Rr：40～50mm,,13960,,260305,H100F80-qq-e-f1-44k,H100F80-qq-e-d-44k,H100F80,JIC,X-MAGIC,1台分,5.0/7.0,25000,1100,29800
ホンダ,オデッセイ,RB2,K24A,03/10～,,Fr：45～55mm<br>Rr：55～65mm,,13960,,260306,H100F80-qq-e-f1-45k,H100F80-qq-e-d-45k,H100F80,JIC,X-MAGIC,1台分,5.0/7.0,25000,1100,29800
ホンダ,ステップワゴン,RF1,B20B,96/5～01/4,,Fr：40～50mm<br>Rr：40～50mm,,15743,,260307,H100F90-qq-e-f1-46k,H100F90-qq-e-d-46k,H100F90,JIC,X-MAGIC,1台分,3.0/7.4,28500,1100,31700
ホンダ,ステップワゴン,RF2,B20B,96/5～01/4,,Fr：40～50mm<br>Rr：35～45mm,,18036,,260308,H100F91-qq-e-f1-47k,H100F91-qq-e-d-47k,H100F91,JIC,X-MAGIC,1台分,3.0/7.4,33000,1100,34200
ホンダ,ステップワゴン,RF3,K20A,01/4～03/5,,Fr：35～45mm<br>Rr：50～60mm,,18524,,260309,H100F92-qq-e-f1-48k,H100F92-qq-e-d-48k,H100F92,JIC,X-MAGIC,1台分,3.6/6.8,34000,1100,34700
ホンダ,ステップワゴンスパーダ,RF5,K20A,03/6～05/4,2000ccスパーダのみ,Fr：40～50mm<br>Rr：45～55mm,,18036,,260310,H100F94-qq-e-f1-49k,H100F94-qq-e-d-49k,H100F94,JIC,X-MAGIC,1台分,3.5/7.0,33000,1100,34200
ホンダ,ストリーム,RN1/RN3,K20A,00/10～,,Fr：35～45mm<br>Rr：30～40mm,,16762,,260311,H100G70-qq-e-f1-50k,H100G70-qq-e-d-50k,H100G70,JIC,X-MAGIC,1台分,3.1/7.5,30500,1100,32800
